MSA,in_center_city,total_commuters,main_city_commuters,total_commuters_2011,main_city_commuters_2011,commuter_rate_2018,commuter_rate_2011,Change in Commuter Rate from 2011 to 2018,Change in Total Commuters,,,,,,
"Tulsa, OK",FALSE,224436,104426,205870,100142,0.465281862,0.486433186,-2.1%,4%,,,,,,
"Nashville-Davidson--Murfreesboro--Franklin, TN",FALSE,516055,171433,414972,146776,0.332199087,0.353700973,-2.2%,17%,,,,,,
"Pittsburgh, PA",TRUE,124001,69879,116847,68366,0.563535778,0.585089904,-2.2%,2%,,,,,,
"Huntington-Ashland, WV-KY-OH",TRUE,13242,8010,13236,8296,0.604893521,0.626775461,-2.2%,-3%,,,,,,
"Eugene, OR",TRUE,52968,32010,47343,29650,0.604327141,0.626280548,-2.2%,8%,,,,,,
"Springfield, MO",FALSE,105315,61135,91267,55004,0.580496605,0.602671283,-2.2%,11%,,,,,,
"Orlando-Kissimmee-Sanford, FL",TRUE,124124,41217,93298,33051,0.332063098,0.354251967,-2.2%,25%,,,,,,
"Little Rock-North Little Rock-Conway, AR",TRUE,72166,52586,71563,53751,0.728681096,0.751100429,-2.2%,-2%,,,,,,
"Kansas City, MO-KS",TRUE,206092,99900,172640,87565,0.484734973,0.507211538,-2.2%,14%,,,,,,
"Fort Smith, AR-OK",TRUE,34747,24017,33044,23584,0.691196362,0.713715047,-2.3%,2%,,,,,,
"Wichita, KS",TRUE,142937,106140,134613,103048,0.742564906,0.765512989,-2.3%,3%,,,,,,
"Scranton--Wilkes-Barre--Hazleton, PA",TRUE,25981,9550,26644,10414,0.367576306,0.390857229,-2.3%,-8%,,,,,,
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",FALSE,123855,18008,104933,17720,0.145395826,0.16886966,-2.3%,2%,,,,,,
"Salinas, CA",FALSE,91645,14768,77847,14398,0.161143543,0.184952535,-2.4%,3%,,,,,,
"Beaumont-Port Arthur, TX",TRUE,41381,20769,41178,21653,0.501897006,0.52583904,-2.4%,-4%,,,,,,
"New Haven-Milford, CT",TRUE,43262,18388,39091,17557,0.42503814,0.449131514,-2.4%,5%,,,,,,
"Richmond, VA",TRUE,89975,34914,73141,30186,0.388041123,0.412709698,-2.5%,16%,,,,,,
"Visalia-Porterville, CA",TRUE,39059,17698,33181,15864,0.453109399,0.47810494,-2.5%,12%,,,,,,
"St. Cloud, MN",TRUE,21319,8629,18642,8015,0.404756321,0.429943139,-2.5%,8%,,,,,,
"Lansing-East Lansing, MI",FALSE,132325,34973,123136,35691,0.26429624,0.289850247,-2.6%,-2%,,,,,,
"Evansville, IN-KY",TRUE,46635,33259,43991,32504,0.713176799,0.738878407,-2.6%,2%,,,,,,
"Huntsville, AL",TRUE,69156,51172,59423,45506,0.739950257,0.765797755,-2.6%,12%,,,,,,
"Lincoln, NE",TRUE,108802,85200,100756,81548,0.783073841,0.809361229,-2.6%,4%,,,,,,
"Fort Wayne, IN",FALSE,75052,30435,70020,30267,0.40551884,0.432262211,-2.7%,1%,,,,,,
"Stockton-Lodi, CA",FALSE,167222,21796,131338,20713,0.130341701,0.157707594,-2.7%,5%,,,,,,
"North Port-Sarasota-Bradenton, FL",FALSE,248523,28850,206461,29701,0.116085835,0.143857678,-2.8%,-3%,,,,,,
"Corpus Christi, TX",TRUE,105660,74350,99283,72691,0.703672156,0.732159584,-2.8%,2%,,,,,,
"Charlotte-Concord-Gastonia, NC-SC",TRUE,345330,228165,270159,186242,0.660715837,0.689379217,-2.9%,23%,,,,,,
"Sacramento--Roseville--Arden-Arcade, CA",FALSE,693720,139634,592265,136307,0.201282938,0.23014529,-2.9%,2%,,,,,,
"Beaumont-Port Arthur, TX",FALSE,98563,22528,96278,24787,0.228564471,0.257452377,-2.9%,-9%,,,,,,
"Reading, PA",FALSE,147981,13156,140969,16625,0.088903305,0.11793373,-2.9%,-21%,,,,,,
"Rochester, MN",TRUE,44400,34102,41326,32941,0.768063063,0.797101099,-2.9%,4%,,,,,,
"Omaha-Council Bluffs, NE-IA",FALSE,217125,101760,190366,94860,0.468670121,0.498303268,-3.0%,7%,,,,,,
"Pensacola-Ferry Pass-Brent, FL",FALSE,135773,33190,120093,32952,0.244452137,0.27438735,-3.0%,1%,,,,,,
"Tampa-St. Petersburg-Clearwater, FL",TRUE,153844,65642,125664,57428,0.426678974,0.456996435,-3.0%,14%,,,,,,
"Tucson, AZ",FALSE,156443,69197,148585,70236,0.442314453,0.472699128,-3.0%,-1%,,,,,,
"Raleigh, NC",FALSE,377072,120147,308648,107748,0.318631455,0.349096706,-3.0%,12%,,,,,,
"Spokane-Spokane Valley, WA",FALSE,125803,47135,109527,44376,0.3746731,0.405160371,-3.0%,6%,,,,,,
"Rockford, IL",FALSE,79469,26274,77161,27876,0.330619487,0.36127059,-3.1%,-6%,,,,,,
"Bakersfield, CA",TRUE,121804,52518,106685,49275,0.431168106,0.46187374,-3.1%,7%,,,,,,
