MSA,MSA_ID,largest_city,in_center_city,total_commuters_2018,main_city_commuters_2018,suburban_commuters_2018,outside_msa_commuters_2018,total_commuters_2011,main_city_commuters_2011,suburban_commuters_2011,outside_msa_commuters_2011,city_commuter_rate_2018,city_commuter_rate_2011,suburban_commuter_rate_2018,suburban_commuter_rate_2011,outside_msa_commuter_rate_2018,outside_msa_commuter_rate_2011
"Spokane-Spokane Valley, WA",44060,Spokane,TRUE,78657,43345,28173,7139,70951,42134,24122,4695,0.5510634781392629,0.5938464574142718,0.35817536900720853,0.3399811137263745,0.0907611528535286,0.06617242885935364
"Springfield, MA",44140,Springfield,FALSE,193443,33624,107752,52067,185915,34535,102039,49341,0.1738186442517951,0.18575693193125892,0.5570219651266781,0.5488475916413414,0.2691593906215268,0.26539547642739963
"Springfield, MA",44140,Springfield,TRUE,58032,22482,20774,14776,52006,20456,17978,13572,0.38740694789081886,0.3933392300888359,0.3579749103942652,0.3456908818213283,0.2546181417149159,0.2609698880898358
"Springfield, MO",44180,Springfield,FALSE,105315,61135,35832,8348,91267,55004,29840,6423,0.5804966054218298,0.6026712831582062,0.34023643355647343,0.32695278687806106,0.07926696102169681,0.07037592996373278
"Springfield, MO",44180,Springfield,TRUE,56155,42499,9684,3972,50426,39788,7597,3041,0.756815955836524,0.7890374013405783,0.17245125100169176,0.15065640740887637,0.07073279316178435,0.06030619125054535
"St. Cloud, MN",41060,St. Cloud,FALSE,61779,16416,32717,12646,57225,15175,29569,12481,0.2657213616277376,0.2651813018785496,0.5295812492918306,0.5167147225862823,0.20469738908043186,0.2181039755351682
"St. Cloud, MN",41060,St. Cloud,TRUE,21319,8629,7875,4815,18642,8015,6382,4245,0.4047563206529387,0.42994313914816007,0.36938880810544583,0.3423452419268319,0.22585487124161546,0.22771161892500805
"St. Louis, MO-IL",41180,St. Louis,FALSE,1048600,141931,864660,42009,984261,140399,811840,32022,0.13535285142094222,0.1426440750979669,0.8245851611672707,0.8248218714345077,0.040061987411787146,0.03253405346752538
"St. Louis, MO-IL",41180,St. Louis,TRUE,125612,52103,69725,3784,117387,52906,61476,3005,0.4147931726268191,0.450697266307172,0.5550823169760851,0.5237036469114978,0.030124510397095818,0.02559908678133013
"Stockton-Lodi, CA",44700,Stockton,FALSE,167222,21796,52718,92708,131338,20713,40878,69747,0.13034170145076604,0.1577075941464009,0.31525756180406883,0.3112427477196242,0.5544007367451651,0.531049658133975
"Stockton-Lodi, CA",44700,Stockton,TRUE,97782,32125,22399,43258,77186,30936,16153,30097,0.3285369495408153,0.4007980721892571,0.22907079012497186,0.2092737024849066,0.44239226033421286,0.38992822532583626
"Syracuse, NY",45060,Syracuse,FALSE,185574,47065,109204,29305,183561,44049,109398,30114,0.25361850259195795,0.2399692745190972,0.5884660566674211,0.5959762694690048,0.157915440740621,0.16405445601189794
"Syracuse, NY",45060,Syracuse,TRUE,45592,20874,16793,7925,43773,20655,15704,7414,0.45784348131251096,0.47186621890206293,0.36833216353746273,0.3587599661892034,0.1738243551500263,0.16937381490873368
